NOMBRE,TIPO,AÑO,MES,AUTOS,MOTOS,AUTOBUS DE 2 EJES,AUTOBUS DE 3 EJES,AUTOBUS DE 4 EJES,CAMIONES DE 2 EJES,CAMIONES DE 3 EJES,CAMIONES DE 4 EJES,CAMIONES DE 5 EJES,CAMIONES DE 6 EJES,CAMIONES DE 7 EJES,CAMIONES DE 8 EJES,CAMIONES DE 9 EJES,TRICICLOS,TOTAL,EJE EXTRA AUTOBUS,EJE EXTRA CAMION,PEATONES
   Línea Express,PÚENTE INTERNACIONAL,2021,ENERO,"34,036",0,0,0,0,0,0,0,0,0,0,0,0,0,"34,036",0,0,0
Juárez-Lincoln,PÚENTE INTERNACIONAL,2021,ENERO,"149,820",748,24,"1,830",0,323,24,64,2,0,0,0,5,0,"152,840","2,166",0,0
Suchiate II,PÚENTE INTERNACIONAL,2021,ENERO,434,1,87,0,0,686,671,64,"7,539","1,319",24,2,107,0,"10,934",4,0,0
Chapalilla - Compostela ,CAMINO,2021,FEBRERO,"116,054","1,962","4,589","1,122",0,"5,110","4,739",438,"5,662","1,997",34,2,563,0,"142,272",680,0,0
Cuauhtemoc-Osiris ,CAMINO,2021,FEBRERO,"113,489",643,"2,467","3,714",0,"12,683","9,052","2,471","48,877","9,273","1,612",133,"23,730",0,"228,144","1,976",2,0
Culiacán,PUENTE NACIONAL,2021,FEBRERO,"200,484","2,622","5,340",464,0,"7,282","3,991",548,"7,293","1,521",5,4,562,0,"230,116","2,009",0,0
Sinaloa,PUENTE NACIONAL,2021,FEBRERO,"202,033","1,437","9,224","2,717",0,"13,488","12,823","2,506","60,321","7,215",835,64,"21,731",0,"334,394","3,430",5,0
Pánuco,PUENTE NACIONAL,2021,FEBRERO,"107,740","5,284","7,076",60,0,"4,969","3,738",316,"2,688","1,127",46,30,"2,018",0,"135,092",984,162,0
Alvarado,PUENTE NACIONAL,2021,FEBRERO,"93,175","7,449","5,379",286,0,"4,800","4,298",144,"2,392","1,144",2,1,154,0,"119,224",755,0,0
Papaloapan,PUENTE NACIONAL,2021,FEBRERO,"35,774","7,500","2,220",78,0,"4,027","4,498",98,"2,915",610,5,3,606,0,"58,334","6,507",441,0
Caracol,PUENTE NACIONAL,2021,FEBRERO,"121,321","14,558","8,181",132,0,"7,303","4,763",280,"4,776",982,92,114,"9,567",0,"172,069","2,209",407,0
Nautla,PUENTE NACIONAL,2021,FEBRERO,"92,393","2,742","2,792",920,0,"6,887","7,882",638,"12,171","3,574",217,23,"7,312",0,"137,551","1,031",102,0
Grijalva,PUENTE NACIONAL,2021,FEBRERO,"309,337","11,903","8,012",970,0,"13,786","9,289","1,126","19,352","7,230",291,35,"11,305",0,"392,636","2,800",41,0
Usumacinta,PUENTE NACIONAL,2021,FEBRERO,"66,568","7,644","1,782",619,0,"4,499","4,932",582,"12,360","2,493",279,41,"9,555",0,"111,354","1,216",0,0
Cadereyta,PUENTE NACIONAL,2021,FEBRERO,"99,706","1,675",150,12,0,"5,740","5,883",746,"11,713","4,439",349,304,"6,333",0,"137,050",646,19,0
La Piedad,PUENTE NACIONAL,2021,FEBRERO,"45,866",897,"2,846","1,142",0,"9,297","11,712",982,"24,066","3,013",45,12,"1,117",0,"100,995",434,0,0
Tecolutla,PUENTE NACIONAL,2021,FEBRERO,"87,313","8,505","3,015",702,1,"6,283","5,623",435,"9,945","2,566",85,22,"4,766",0,"129,261",515,68,0
San Juan,PUENTE NACIONAL,2021,FEBRERO,"47,269",93,424,1,0,"2,630","1,470",182,"4,094",761,12,35,"5,584",0,"62,555","1,032",809,0
Tampico,PUENTE NACIONAL,2021,FEBRERO,"196,300","1,497","5,165","1,255",0,"6,514","2,582",195,"1,186",538,16,23,782,0,"216,053",734,0,0
Tlacotalpan,PUENTE NACIONAL,2021,FEBRERO,"29,790","3,460",867,3,0,999,"1,533",33,518,106,1,0,15,0,"37,325",466,0,0
Dovalí Jaime,PUENTE NACIONAL,2021,FEBRERO,"157,145","4,007","3,776","2,132",0,"19,350","24,953","3,295","71,735","12,852",910,409,"38,164",0,"338,728","1,556",77,0
Dovalí Jaime Bis,PUENTE NACIONAL,2021,FEBRERO,"14,060","1,171",3,2,0,477,86,0,4,5,3,0,1,0,"15,812",42,0,0
Refineria Lazaro Cárdenas,PUENTE NACIONAL,2021,FEBRERO,"1,434",36,5,0,0,91,120,3,87,29,2,0,60,0,"1,867",4,0,0
Matamoros,PÚENTE INTERNACIONAL,2021,FEBRERO,"62,410",161,0,0,0,40,1,0,0,0,0,0,0,0,"62,612",97,0,"60,028"
Camargo,PÚENTE INTERNACIONAL,2021,FEBRERO,"17,599",25,0,0,0,78,106,8,"1,159",21,21,0,"1,347",0,"20,364",319,0,"2,161"
Miguel Alemán,PÚENTE INTERNACIONAL,2021,FEBRERO,"33,199",8,3,14,0,65,86,32,"1,433",8,0,0,0,0,"34,848",170,0,"8,664"
Reynosa,PÚENTE INTERNACIONAL,2021,FEBRERO,"75,213",67,115,270,0,33,11,0,0,0,0,0,0,0,"75,709",188,0,"87,561"
   Línea Express,PÚENTE INTERNACIONAL,2021,FEBRERO,"31,109",0,0,0,0,0,0,0,0,0,0,0,0,0,"31,109",0,0,0
Las Flores,PÚENTE INTERNACIONAL,2021,FEBRERO,"36,961",21,0,0,0,93,638,21,"1,258",244,18,8,"1,799",0,"41,061",77,124,"63,074"
Ojinaga,PÚENTE INTERNACIONAL,2021,FEBRERO,"33,058",79,6,49,0,622,151,140,650,17,0,5,36,0,"34,813",623,0,"4,195"
Rodolfo Robles,PÚENTE INTERNACIONAL,2021,FEBRERO,"4,413","21,837",87,97,0,8,0,0,0,0,0,0,0,"6,153","32,595",1,0,"20,984"
Piedras Negras,PÚENTE INTERNACIONAL,2021,FEBRERO,"28,340",33,0,0,0,100,1,1,0,0,0,0,0,0,"28,475",128,0,"18,394"
Acuña,PÚENTE INTERNACIONAL,2021,FEBRERO,"78,511",134,0,0,0,"1,293",778,121,"3,092",27,18,0,1,0,"83,975",577,0,"4,112"
Laredo,PÚENTE INTERNACIONAL,2021,FEBRERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"104,265"
   Línea Express,PÚENTE INTERNACIONAL,2021,FEBRERO,"29,976",0,0,0,0,0,0,0,0,0,0,0,0,0,"29,976",0,0,0
Juárez-Lincoln,PÚENTE INTERNACIONAL,2021,FEBRERO,"131,820",633,25,"1,144",0,248,16,54,5,0,0,0,0,0,"133,945",990,0,0
Suchiate II,PÚENTE INTERNACIONAL,2021,FEBRERO,660,0,87,1,0,628,712,50,"8,224","1,343",22,0,102,0,"11,829",20,0,0
Chapalilla - Compostela ,CAMINO,2021,MARZO,"173,708","2,532","6,922","1,757",0,"6,553","5,203",508,"6,835","2,541",31,5,544,0,"207,139",813,0,0
Cuauhtemoc-Osiris ,CAMINO,2021,MARZO,"136,947",880,"2,937","4,430",0,"14,241","9,887","3,003","55,573","10,766","2,194",136,"26,123",0,"267,117","2,429",0,0
Culiacán,PUENTE NACIONAL,2021,MARZO,"231,343","2,970","5,944",457,0,"8,730","4,640",588,"7,978","1,976",5,12,717,0,"265,360","2,840",0,0
Sinaloa,PUENTE NACIONAL,2021,MARZO,"255,071","1,836","10,177","3,150",0,"16,132","15,313","3,047","68,122","8,038",900,71,"23,548",0,"405,405","4,548",2,0
Pánuco,PUENTE NACIONAL,2021,MARZO,"129,567","6,373","7,938",104,0,"5,732","4,361",335,"3,169","1,457",68,24,"2,317",0,"161,445","1,307",148,0
Alvarado,PUENTE NACIONAL,2021,MARZO,"115,257","9,254","6,396",401,0,"5,365","5,173",138,"2,906","1,335",8,1,391,0,"146,625",932,0,0
Papaloapan,PUENTE NACIONAL,2021,MARZO,"42,223","8,421","2,466",92,0,"4,791","5,403",158,"3,645","1,019",8,3,641,0,"68,870","6,159",439,0
Caracol,PUENTE NACIONAL,2021,MARZO,"142,518","16,771","9,503",213,2,"8,298","6,135",352,"5,605","1,150",81,102,"11,858",0,"202,588","2,554",409,0
Nautla,PUENTE NACIONAL,2021,MARZO,"121,126","3,871","3,501","1,144",0,"8,279","8,936",622,"13,892","3,522",166,32,"7,651",0,"172,742","1,411",43,0
Grijalva,PUENTE NACIONAL,2021,MARZO,"366,458","13,878","9,267","1,280",0,"16,297","10,572","1,323","21,755","8,183",522,52,"12,825",0,"462,412","2,927",79,0
Usumacinta,PUENTE NACIONAL,2021,MARZO,"84,818","9,930","2,344",792,0,"5,229","5,536",656,"13,418","2,779",529,52,"11,288",0,"137,371","1,514",0,0
Cadereyta,PUENTE NACIONAL,2021,MARZO,"109,093","2,281",194,49,0,"6,965","7,319",531,"12,643","3,730",359,366,"6,692",0,"150,222",833,29,0
La Piedad,PUENTE NACIONAL,2021,MARZO,"94,823","2,438","3,137","1,262",0,"11,885","14,813","1,078","23,389","3,256",62,11,973,0,"157,127",562,0,0
Tecolutla,PUENTE NACIONAL,2021,MARZO,"119,357","10,994","3,803","1,023",0,"7,119","6,734",432,"11,532","2,535",46,21,"5,078",0,"168,674",791,32,0
San Juan,PUENTE NACIONAL,2021,MARZO,"59,239",120,469,5,0,"3,404","2,052",247,"5,251","1,026",32,29,"7,508",0,"79,382","1,432","1,270",0
Tampico,PUENTE NACIONAL,2021,MARZO,"245,898","2,026","6,190","1,501",0,"7,131","3,091",284,"1,551",676,20,20,"1,166",0,"269,554","1,002",0,0
Tlacotalpan,PUENTE NACIONAL,2021,MARZO,"36,588","4,460","1,030",9,0,"1,106","1,453",38,525,123,0,0,14,0,"45,346",602,0,0
Dovalí Jaime,PUENTE NACIONAL,2021,MARZO,"189,503","4,762","4,992","2,748",0,"21,736","27,802","3,827","78,651","14,735","1,242",435,"41,102",0,"391,535","1,671",58,0
Dovalí Jaime Bis,PUENTE NACIONAL,2021,MARZO,"16,141","1,262",3,0,0,600,127,4,20,5,0,0,2,0,"18,164",24,0,0
Refineria Lazaro Cárdenas,PUENTE NACIONAL,2021,MARZO,"1,903",28,7,1,0,126,173,13,80,38,0,1,86,0,"2,456",6,0,0
Matamoros,PÚENTE INTERNACIONAL,2021,MARZO,"73,687",264,0,0,0,42,2,1,0,0,0,0,0,0,"73,996",121,0,"83,336"
Camargo,PÚENTE INTERNACIONAL,2021,MARZO,"21,000",46,0,0,0,81,169,9,"1,476",57,16,0,"1,766",0,"24,620",489,0,"3,196"
Miguel Alemán,PÚENTE INTERNACIONAL,2021,MARZO,"39,915",12,7,21,2,106,100,54,"1,781",14,0,0,0,0,"42,012",252,0,"12,342"
Reynosa,PÚENTE INTERNACIONAL,2021,MARZO,"88,464",136,143,424,0,50,10,5,0,0,0,0,0,0,"89,232",252,0,"110,826"
   Línea Express,PÚENTE INTERNACIONAL,2021,MARZO,"33,149",0,0,0,0,0,0,0,0,0,0,0,0,0,"33,149",0,0,0
Las Flores,PÚENTE INTERNACIONAL,2021,MARZO,"49,850",39,0,0,0,71,742,45,"1,302",374,21,7,"2,811",0,"55,262",143,162,"104,233"
Ojinaga,PÚENTE INTERNACIONAL,2021,MARZO,"39,962",59,8,68,0,775,141,197,658,44,19,38,0,0,"41,969","1,191",0,"8,052"
Rodolfo Robles,PÚENTE INTERNACIONAL,2021,MARZO,"5,199","21,378",99,179,0,14,0,0,0,0,0,0,0,"7,150","34,019",1,1,"23,921"
Piedras Negras,PÚENTE INTERNACIONAL,2021,MARZO,"41,028",66,0,0,0,95,2,1,0,0,0,0,0,0,"41,192",128,0,"30,024"
Acuña,PÚENTE INTERNACIONAL,2021,MARZO,"108,750",315,0,1,0,"1,753",876,200,"4,587",35,36,0,0,0,"116,553",933,0,"6,624"
Laredo,PÚENTE INTERNACIONAL,2021,MARZO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"144,392"
   Línea Express,PÚENTE INTERNACIONAL,2021,MARZO,"43,166",0,0,0,0,0,0,0,0,0,0,0,0,0,"43,166",0,0,0
Juárez-Lincoln,PÚENTE INTERNACIONAL,2021,MARZO,"166,534","1,012",19,"1,826",0,332,17,52,0,0,2,0,2,0,"169,796","1,038",1,0
Suchiate II,PÚENTE INTERNACIONAL,2021,MARZO,885,1,99,2,0,898,883,67,"9,389","1,459",24,4,97,0,"13,808",15,0,0
Chapalilla - Compostela ,CAMINO,2021,ABRIL,"180,771","2,388","7,847","2,135",0,"5,931","4,913",489,"6,471","2,427",25,4,692,0,"214,093",715,0,0
Cuauhtemoc-Osiris ,CAMINO,2021,ABRIL,"138,879",947,"3,248","4,788",0,"13,230","9,605","2,880","52,273","9,555","1,781",123,"24,667",0,"261,976","2,074",0,0
Culiacán,PUENTE NACIONAL,2021,ABRIL,"235,409","2,740","5,667",488,0,"8,262","4,107",470,"7,024","1,591",2,1,532,0,"266,293","2,369",0,0
Sinaloa,PUENTE NACIONAL,2021,ABRIL,"254,569","1,810","9,997","3,484",0,"14,701","14,435","2,697","63,304","6,465",867,115,"20,851",0,"393,295","3,916",0,0
Pánuco,PUENTE NACIONAL,2021,ABRIL,"129,437","6,173","7,932",124,0,"5,445","4,555",381,"3,014","1,391",86,57,"1,921",0,"160,516",936,98,0
Alvarado,PUENTE NACIONAL,2021,ABRIL,"124,926","8,653","6,726",414,0,"5,217","5,232",169,"2,631","1,482",8,0,581,0,"156,039",776,1,0
Papaloapan,PUENTE NACIONAL,2021,ABRIL,"42,137","8,295","2,520",128,0,"4,933","5,773",164,"3,409",828,5,3,758,0,"68,953","3,077",521,0
Caracol,PUENTE NACIONAL,2021,ABRIL,"138,970","15,874","9,973",241,0,"8,092","5,738",318,"5,896","1,264",70,155,"11,122",0,"197,713","1,289",407,0
Nautla,PUENTE NACIONAL,2021,ABRIL,"122,350","3,419","3,669","1,266",0,"8,013","7,770",717,"13,954","3,538",185,37,"7,841",0,"172,759","1,232",10,0
Grijalva,PUENTE NACIONAL,2021,ABRIL,"350,917","13,667","9,467","1,599",0,"14,766","9,193","1,258","19,596","7,866",312,43,"12,791",0,"441,475","2,499",48,0
Usumacinta,PUENTE NACIONAL,2021,ABRIL,"85,425","9,173","2,589",895,0,"5,041","6,151",597,"12,869","2,791",324,62,"10,593",0,"136,510","1,212",8,0
Cadereyta,PUENTE NACIONAL,2021,ABRIL,"117,639","2,114",179,45,0,"6,441","6,500",584,"11,772","3,076",225,288,"5,682",0,"154,545",673,0,0
La Piedad,PUENTE NACIONAL,2021,ABRIL,"110,420","1,976","3,185","1,219",0,"11,367","13,971",940,"20,084","2,693",33,12,811,0,"166,711",595,0,0
Tecolutla,PUENTE NACIONAL,2021,ABRIL,"117,680","9,468","4,053","1,086",0,"6,555","5,489",492,"11,368","2,465",59,13,"5,231",0,"163,959",708,7,0
San Juan,PUENTE NACIONAL,2021,ABRIL,"61,082",116,464,1,0,"3,213","1,799",247,"4,644",993,38,26,"6,872",0,"79,495","1,291","1,302",0
Tampico,PUENTE NACIONAL,2021,ABRIL,"258,581","2,164","6,658","1,776",1,"6,943","2,989",193,"1,171",375,36,19,896,0,"281,802",990,0,0
Tlacotalpan,PUENTE NACIONAL,2021,ABRIL,"37,981","4,327","1,017",16,0,"1,083",982,34,496,64,0,0,11,0,"46,011",376,0,0
Dovalí Jaime,PUENTE NACIONAL,2021,ABRIL,"193,867","4,526","5,213","2,949",0,"19,667","24,962","3,493","73,709","14,207",919,385,"40,500",0,"384,397","1,492",15,0
Dovalí Jaime Bis,PUENTE NACIONAL,2021,ABRIL,"17,841","1,179",18,4,0,624,176,19,68,47,3,1,24,0,"20,004",15,2,0
Refineria Lazaro Cárdenas,PUENTE NACIONAL,2021,ABRIL,"2,137",36,66,1,0,177,171,17,101,34,5,3,66,0,"2,814",13,1,0
Matamoros,PÚENTE INTERNACIONAL,2021,ABRIL,"78,973",239,0,0,0,33,0,5,0,0,0,0,0,0,"79,250",108,0,"89,226"
Camargo,PÚENTE INTERNACIONAL,2021,ABRIL,"20,768",27,0,0,0,83,131,9,"1,376",28,28,0,"1,609",0,"24,059",412,0,"2,751"
Miguel Alemán,PÚENTE INTERNACIONAL,2021,ABRIL,"38,931",5,5,19,0,72,89,60,"1,636",12,0,0,0,0,"40,829",214,0,"12,483"
Reynosa,PÚENTE INTERNACIONAL,2021,ABRIL,"86,256",132,205,450,0,54,18,4,1,0,0,0,0,0,"87,120",263,0,"110,419"
   Línea Express,PÚENTE INTERNACIONAL,2021,ABRIL,"42,589",0,0,0,0,0,0,0,0,0,0,0,0,0,"42,589",0,0,0
Las Flores,PÚENTE INTERNACIONAL,2021,ABRIL,"44,855",35,0,0,0,74,755,27,"1,207",258,23,6,"2,059",0,"49,299",122,157,"89,307"
Ojinaga,PÚENTE INTERNACIONAL,2021,ABRIL,"40,540",39,6,66,0,726,125,160,561,16,62,29,0,0,"42,330","1,090",0,"5,477"
Rodolfo Robles,PÚENTE INTERNACIONAL,2021,ABRIL,"4,326","18,882",64,112,0,16,0,0,0,0,0,0,0,"6,651","30,051",0,0,"22,359"
Piedras Negras,PÚENTE INTERNACIONAL,2021,ABRIL,"44,878",33,0,0,0,89,1,3,0,0,0,0,0,0,"45,004",128,0,"28,414"
Acuña,PÚENTE INTERNACIONAL,2021,ABRIL,"106,233",318,0,0,0,"1,570",802,163,"3,783",32,32,0,0,0,"112,933",884,0,"6,213"
Laredo,PÚENTE INTERNACIONAL,2021,ABRIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"137,268"
   Línea Express,PÚENTE INTERNACIONAL,2021,ABRIL,"42,779",0,0,0,0,0,0,0,0,0,0,0,0,0,"42,779",0,0,0
Juárez-Lincoln,PÚENTE INTERNACIONAL,2021,ABRIL,"162,955",943,21,"1,808",0,233,20,45,0,0,0,0,0,0,"166,025","1,008",0,0
Suchiate II,PÚENTE INTERNACIONAL,2021,ABRIL,881,0,47,4,0,885,663,98,"9,063","1,423",14,2,84,0,"13,164",19,0,0
Chapalilla - Compostela ,CAMINO,2021,MAYO,"182,186","2,491","9,804","3,189",0,"6,158","5,163",530,"7,139","2,783",35,7,801,0,"220,286",662,0,0
Cuauhtemoc-Osiris ,CAMINO,2021,MAYO,"139,678",844,"3,592","5,224",0,"13,689","10,429","3,078","53,648","10,518","1,734",162,"25,438",0,"268,034","2,376",0,0
Culiacán,PUENTE NACIONAL,2021,MAYO,"242,616","2,442","6,115",588,0,"8,716","4,468",484,"6,529","1,734",1,11,501,0,"274,205","2,527",0,0
Sinaloa,PUENTE NACIONAL,2021,MAYO,"261,277","1,674","10,410","3,818",0,"15,050","13,699","2,614","61,284","6,842",897,64,"18,235",0,"395,864","3,899",3,0
Pánuco,PUENTE NACIONAL,2021,MAYO,"134,522","6,656","8,232",128,0,"5,567","4,501",327,"2,784","1,215",84,43,"1,440",0,"165,499","1,151",92,0
Alvarado,PUENTE NACIONAL,2021,MAYO,"123,558","9,580","7,373",411,0,"5,476","4,774",179,"2,692","1,355",7,6,460,0,"155,871",942,0,0
Papaloapan,PUENTE NACIONAL,2021,MAYO,"43,666","8,872","2,692",130,0,"5,620","4,715",189,"2,804",440,9,7,806,0,"69,950","1,061",60,0
Caracol,PUENTE NACIONAL,2021,MAYO,"146,895","17,825","10,489",248,0,"8,201","5,040",340,"5,335",931,84,144,"10,941",0,"206,473",900,407,0
Nautla,PUENTE NACIONAL,2021,MAYO,"123,792","3,902","3,854","1,435",0,"8,050","6,888",700,"14,050","3,606",221,33,"8,327",0,"174,858","1,416",26,0
Grijalva,PUENTE NACIONAL,2021,MAYO,"362,261","14,546","9,989","1,656",0,"15,355","9,398","1,303","21,044","8,213",426,57,"13,318",0,"457,566","2,499",61,0
Usumacinta,PUENTE NACIONAL,2021,MAYO,"85,579","9,397","2,747",931,0,"5,198","7,115",670,"13,829","3,152",401,48,"10,127",0,"139,194","1,388",0,0
Cadereyta,PUENTE NACIONAL,2021,MAYO,"125,155","2,385",150,34,0,"6,756","6,338",805,"12,586","3,766",274,343,"5,380",0,"163,972",994,44,0
La Piedad,PUENTE NACIONAL,2021,MAYO,"46,567",936,819,270,0,"4,291","3,964",163,"3,591",445,25,3,191,0,"61,265",294,0,0
Tecolutla,PUENTE NACIONAL,2021,MAYO,"118,934","10,429","4,332","1,363",0,"6,703","5,234",512,"11,439","2,567",86,27,"5,400",0,"167,026",722,11,0
San Juan,PUENTE NACIONAL,2021,MAYO,"64,929",112,538,1,0,"3,146","1,595",213,"4,901",902,44,28,"7,432",0,"83,841","1,371",12,0
Tampico,PUENTE NACIONAL,2021,MAYO,"258,864","2,137","6,838","1,806",0,"7,162","3,309",313,"1,533",442,32,16,673,0,"283,125","1,011",0,0
Tlacotalpan,PUENTE NACIONAL,2021,MAYO,"38,024","4,523","1,085",30,0,"1,180",861,20,277,62,0,0,13,0,"46,075",450,0,0
Dovalí Jaime,PUENTE NACIONAL,2021,MAYO,"193,606","4,981","5,582","3,094",0,"20,585","24,969","3,580","76,631","14,209","1,045",404,"42,466",0,"391,152","1,855",80,0
Dovalí Jaime Bis,PUENTE NACIONAL,2021,MAYO,"19,390","1,277",32,0,0,742,130,18,140,74,0,0,0,0,"21,803",24,0,0
Refineria Lazaro Cárdenas,PUENTE NACIONAL,2021,MAYO,"2,976",45,109,0,0,238,135,6,107,40,1,1,85,0,"3,743",11,0,0
Matamoros,PÚENTE INTERNACIONAL,2021,MAYO,"83,372",262,0,2,0,45,1,2,0,0,0,0,0,0,"83,684",110,0,"92,759"
Camargo,PÚENTE INTERNACIONAL,2021,MAYO,"23,763",34,0,0,0,75,146,10,"1,435",44,19,0,"1,934",0,"27,460",379,0,"2,708"
Miguel Alemán,PÚENTE INTERNACIONAL,2021,MAYO,"42,737",1,6,24,0,83,101,69,"1,836",9,1,0,0,0,"44,867",216,0,"12,788"
Reynosa,PÚENTE INTERNACIONAL,2021,MAYO,"95,175",125,237,427,0,72,10,6,0,0,4,0,1,0,"96,057",275,0,"119,128"
   Línea Express,PÚENTE INTERNACIONAL,2021,MAYO,"45,417",0,0,0,0,0,0,0,0,0,0,0,0,0,"45,417",0,0,0
Las Flores,PÚENTE INTERNACIONAL,2021,MAYO,"44,311",47,0,0,0,59,572,48,"1,262",216,28,6,"1,276",0,"47,825",134,106,"87,653"
Ojinaga,PÚENTE INTERNACIONAL,2021,MAYO,"44,362",42,14,62,0,807,110,203,448,9,40,29,13,0,"46,139","1,115",0,"4,045"
Rodolfo Robles,PÚENTE INTERNACIONAL,2021,MAYO,"5,301","21,667",65,134,0,12,0,0,0,0,0,0,0,"7,760","34,939",0,0,"26,432"
Piedras Negras,PÚENTE INTERNACIONAL,2021,MAYO,"45,522",24,0,0,0,89,0,6,0,0,0,0,0,0,"45,641",106,0,"32,066"
Acuña,PÚENTE INTERNACIONAL,2021,MAYO,"113,671",350,0,0,0,"1,713",758,171,"3,681",34,22,0,8,0,"120,408",933,0,"6,715"
Laredo,PÚENTE INTERNACIONAL,2021,MAYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"137,506"
   Línea Express,PÚENTE INTERNACIONAL,2021,MAYO,"51,342",0,0,0,0,0,0,0,0,0,0,0,0,0,"51,342",0,0,0
Juárez-Lincoln,PÚENTE INTERNACIONAL,2021,MAYO,"168,187",908,22,"1,937",0,208,21,42,1,0,1,0,1,0,"171,328",930,0,0
Suchiate II,PÚENTE INTERNACIONAL,2021,MAYO,810,1,77,3,0,"1,029",721,79,"8,943","1,411",19,5,78,0,"13,176",35,0,0
Chapalilla - Compostela ,CAMINO,2021,JUNIO,"158,586","1,764","9,447","3,196",0,"6,314","5,218",494,"6,929","2,535",17,5,801,0,"195,306",667,0,0
Cuauhtemoc-Osiris ,CAMINO,2021,JUNIO,"139,278",719,"3,660","5,215",0,"13,998","11,790","2,973","54,293","10,561","1,612",132,"23,681",0,"267,912","2,481",1,0
Culiacán,PUENTE NACIONAL,2021,JUNIO,"224,959","2,392","5,910",566,0,"8,734","4,764",573,"5,964","1,750",5,2,603,0,"256,222","2,580",0,0
Sinaloa,PUENTE NACIONAL,2021,JUNIO,"235,288","1,479","10,000","3,749",0,"15,282","14,464","2,697","58,935","7,195",988,73,"16,771",0,"366,921","3,383",2,0
Pánuco,PUENTE NACIONAL,2021,JUNIO,"121,396","6,268","8,291",117,0,"5,287","3,101",346,"2,315","1,229",42,16,915,0,"149,323",881,5,0
Alvarado,PUENTE NACIONAL,2021,JUNIO,"107,013","8,279","6,495",312,0,"5,122","3,780",153,"2,530","1,150",19,4,270,0,"135,127",769,2,0
Papaloapan,PUENTE NACIONAL,2021,JUNIO,"39,211","8,044","2,548",112,0,"4,929","3,570",128,"2,315",314,5,6,565,0,"61,747",482,0,0
Caracol,PUENTE NACIONAL,2021,JUNIO,"135,655","16,599","10,058",234,0,"7,899","4,754",376,"4,630",826,54,84,"10,314",0,"191,483",463,407,0
Nautla,PUENTE NACIONAL,2021,JUNIO,"111,460","3,421","3,820","1,348",0,"7,875","7,853",694,"13,310","3,869",267,40,"8,001",0,"161,958","1,327",35,0
Grijalva,PUENTE NACIONAL,2021,JUNIO,"340,772","13,628","9,819","1,473",0,"15,909","9,538","1,299","20,604","8,894",367,61,"12,417",0,"434,781","2,095",48,0
Usumacinta,PUENTE NACIONAL,2021,JUNIO,"79,529","9,051","2,722",743,0,"5,259","8,235",723,"13,236","3,178",403,34,"9,864",0,"132,977","1,162",17,0
Cadereyta,PUENTE NACIONAL,2021,JUNIO,"119,944","2,676",211,23,0,"6,505","6,148",899,"13,702","4,934",311,317,"5,619",0,"161,289",770,19,0
La Piedad,PUENTE NACIONAL,2021,JUNIO,"24,699",638,85,21,0,"2,011","1,033",48,377,103,5,1,27,0,"29,048",130,0,0
Tecolutla,PUENTE NACIONAL,2021,JUNIO,"103,472","10,293","4,058","1,236",0,"6,652","4,788",495,"10,425","2,722",75,20,"4,972",0,"149,208",706,17,0
San Juan,PUENTE NACIONAL,2021,JUNIO,"58,282",105,517,1,0,"3,406","1,678",221,"5,017","1,000",57,51,"7,258",0,"77,593","1,341",659,0
Tampico,PUENTE NACIONAL,2021,JUNIO,"231,007","2,129","6,829","1,641",0,"7,018","3,378",236,"1,136",329,32,28,842,0,"254,605",895,3,0
Tlacotalpan,PUENTE NACIONAL,2021,JUNIO,"33,656","4,241","1,028",12,0,"1,136",572,31,167,49,1,0,15,0,"40,908",397,0,0
Dovalí Jaime,PUENTE NACIONAL,2021,JUNIO,"179,257","4,310","5,443","3,003",0,"19,719","23,839","3,533","75,626","13,149",980,463,"39,347",0,"368,669","1,457",67,0
Dovalí Jaime Bis,PUENTE NACIONAL,2021,JUNIO,"16,810","1,214",25,0,0,622,108,14,59,17,0,0,0,0,"18,869",14,0,0
Refineria Lazaro Cárdenas,PUENTE NACIONAL,2021,JUNIO,"2,480",37,76,3,0,164,169,10,122,41,1,1,87,0,"3,191",35,0,0
Matamoros,PÚENTE INTERNACIONAL,2021,JUNIO,"92,759",196,0,0,0,71,0,1,0,0,0,0,0,0,"93,027",147,0,"72,482"
Camargo,PÚENTE INTERNACIONAL,2021,JUNIO,"22,159",37,0,0,0,75,139,7,"1,451",30,8,0,"1,588",0,"25,494",315,0,"2,101"
Miguel Alemán,PÚENTE INTERNACIONAL,2021,JUNIO,"40,560",4,6,23,0,107,85,57,"1,899",11,1,0,0,0,"42,753",250,0,"11,679"
Reynosa,PÚENTE INTERNACIONAL,2021,JUNIO,"89,512",145,250,448,0,43,8,2,1,0,0,0,0,0,"90,409",316,0,"100,043"
   Línea Express,PÚENTE INTERNACIONAL,2021,JUNIO,"42,859",0,0,0,0,0,0,0,0,0,0,0,0,0,"42,859",0,0,0
Las Flores,PÚENTE INTERNACIONAL,2021,JUNIO,"42,521",34,0,0,0,75,888,40,817,272,22,5,"1,214",0,"45,888",132,69,"76,905"
