NOMBRE,TIPO,AÑO,MES,AUTOS,MOTOS,AUTOBUS DE 2 EJES,AUTOBUS DE 3 EJES,AUTOBUS DE 4 EJES,CAMIONES DE 2 EJES,CAMIONES DE 3 EJES,CAMIONES DE 4 EJES,CAMIONES DE 5 EJES,CAMIONES DE 6 EJES,CAMIONES DE 7 EJES,CAMIONES DE 8 EJES,CAMIONES DE 9 EJES,TRICICLOS,TOTAL,EJE EXTRA AUTOBUS,EJE EXTRA CAMION,PEATONES
Suchiate II,PÚENTE INTERNACIONAL,2024,DICIEMBRE,"1,564", -   ,160,4, -   ,"1,066",901,84,"9,021","1,687",33,2,21, -   ,"14,543",77, -   , -   
Chapalilla - Compostela ,CAMINO,2025,ENERO,"76,383","2,383","3,022",314,14,"3,327","1,905",264,"1,500",609,12, -   ,84, -   ,"89,817",644, -   , -   
Cuauhtemoc-Osiris ,CAMINO,2025,ENERO,"123,554",450,"4,441","6,528", -   ,"13,163","10,538","5,693","62,715","13,473","3,476",159,"26,335", -   ,"270,525","2,249",2, -   
Culiacán,PUENTE NACIONAL,2025,ENERO,"177,690","2,320","5,282",644,7,"6,313","2,886",354,"4,550",483,3,1,642, -   ,"201,175","1,455", -   , -   
Sinaloa,PUENTE NACIONAL,2025,ENERO,"233,260","1,955","12,926","5,531",27,"14,331","13,887","3,537","69,433","7,240","1,143",65,"21,842", -   ,"385,177","3,503",18, -   
Pánuco,PUENTE NACIONAL,2025,ENERO,"131,174","7,945","8,644",253,24,"4,612","2,750",182,"2,635","2,466",21,7,"2,014", -   ,"162,727",900,45, -   
Alvarado,PUENTE NACIONAL,2025,ENERO,"127,284","11,096","7,765",443,2,"4,730","5,027",202,"2,691","1,205",10,5,498, -   ,"160,958","1,001",3, -   
Papaloapan,PUENTE NACIONAL,2025,ENERO,"64,564","15,330","3,008",86,7,"3,621","4,142",120,"2,714",360,46,8,"1,234", -   ,"95,240","6,998","1,081", -   
Caracol,PUENTE NACIONAL,2025,ENERO,"124,233","22,780","11,534",243, -   ,"6,468","4,296",299,"5,613","1,125",37,11,"11,418", -   ,"188,057","3,342","2,499", -   
Nautla,PUENTE NACIONAL,2025,ENERO,"66,820","4,185","2,700",152,1,"3,712","2,367",260,"4,347",746,17,3,797, -   ,"86,107",889, -   , -   
Grijalva,PUENTE NACIONAL,2025,ENERO,"387,648","24,146","11,211","2,216",29,"15,954","10,013","1,494","22,823","7,821",481,49,"13,812", -   ,"497,697","3,134",105, -   
Usumacinta,PUENTE NACIONAL,2025,ENERO,"83,153","12,174","4,799",947,9,"4,696","5,183",885,"19,176","4,090",478,44,"10,877", -   ,"146,511","1,598",39, -   
Cadereyta,PUENTE NACIONAL,2025,ENERO,"146,207","4,376",946,10, -   ,"10,881","5,898",665,"8,969","2,315",212,336,"4,127", -   ,"184,942",820,19, -   
La Piedad,PUENTE NACIONAL,2025,ENERO,"83,618","2,467","4,012",655, -   ,"6,138","5,864",588,"9,836","1,559",24,3,307, -   ,"115,071",553, -   , -   
Tecolutla,PUENTE NACIONAL,2025,ENERO,"86,724","16,603","3,079",191, -   ,"3,734","2,431",317,"4,372",834,18,1,800, -   ,"119,104",457, -   , -   
San Juan,PUENTE NACIONAL,2025,ENERO,"44,084",137,436,243, -   ,"2,421","1,326",206,"3,725",695,56,68,"7,313", -   ,"60,710",952,"1,066", -   
